400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
880,540,780,540,560,500,840,780,520,720,500,540,900,520,880,780,540,1160,520,880,560,880,780,740,540,560,540,560,520,560,880,780,780,820,780,560,520,740,860,880,540,780,540,560,560,540,860,540,520,560,540,780,580,540,680,780,520,560,560,780,880,560,520,540,540,540,560,800,880,560,520,1140,540,780,820,560,560,560,520,780,780,560,520,520,880,520,780,900,880,560,540,540,540,880,520,560,540,540,560,820
1160,1080,1140,1140,1140,1140,1160,1480,860,1160,1140,1040,1140,900,1380,1100,1160,1400,1120,1120,1360,1300,1400,1100,1300,1140,1140,1360,1100,1120,1520,1140,1140,1140,1460,1120,1120,1120,1120,1120,1140,1100,1140,1440,880,1180,1100,1120,1100,1080,1140,1100,1140,1140,1100,1340,1100,1120,1140,1140,1120,880,1140,1160,1300,1140,1140,1160,1740,1080,920,1120,1120,1060,1140,1380,1440,1340,880,1940,1120,1140,1160,1160,1360,1120,1120,1380,880,1380,1140,1120,1140,1160,1140,900,1160,1160,1120,1360
1600,1340,1080,1940,1120,1060,1400,820,820,820,880,2020,1140,1300,1340,700,1280,820,1420,1940,1140,1080,1480,820,1140,1860,1140,1400,1960,1400,840,820,820,1700,1400,1680,1160,1020,1280,820,860,1460,1700,1460,820,820,2020,1160,900,820,1140,820,820,1100,1400,1060,800,1200,1540,1100,880,840,1460,1120,1140,820,1720,1120,1080,1120,1400,860,1420,1480,840,1100,1120,860,1200,1320,1380,1420,1140,1120,1040,820,1460,1320,1780,1820,1380,1120,2240,1720,1660,1580,1020,1720,880,1400
1260,1380,1740,1400,2340,2100,1160,1420,1740,1380,1980,1720,2360,1620,1400,2120,1420,1740,1580,1260,1660,1940,2780,1740,3580,1420,1980,2300,1380,1420,2020,1680,1660,1400,3500,2040,1760,1600,1400,1400,2020,1420,1420,1460,1720,1740,2040,2540,1400,4240,1620,1960,1140,1400,1400,2040,1420,2000,2160,2880,2900,2300,1160,1380,1160,2240,2420,1300,1420,1420,1400,1420,1400,1400,1640,1400,1400,1380,2540,1440,1420,1680,1400,1380,1380,1420,1280,2200,1540,1640,1420,1300,1420,1400,1700,1420,1400,1400,2520,2200
